batsman,runs_batsman,ball,wickets_lost_count,wickets_taken,Batting_SR,Batting_Average
A Lyth,73,80,6,0,91.25,12.17
A Zampa,55,67,7,63,82.09,7.86
AC Agar,249,205,19,36,121.46,13.11
AD Hales,1429,983,46,0,145.37,31.07
AD Russell,184,143,6,7,128.67,30.67
ADS Fletcher,206,160,10,0,128.75,20.6
AF Milne,13,15,3,8,86.67,4.33
AI Ross,1039,808,38,0,128.59,27.34
AJ Finch,1059,908,38,0,116.63,27.87
AJ Hose,402,322,17,0,124.84,23.65
AJ Hosein,100,84,7,19,119.05,14.29
AJ Nair,15,13,0,1,115.38,15
AJ Turner,1225,827,36,5,148.13,34.03
AJ Tye,145,118,13,89,122.88,11.15
AM Hardie,1152,911,40,24,126.45,28.8
AT Carey,727,568,27,0,127.99,26.93
Ahmed Daniyal,1,2,0,3,50,1
Asif Ali,79,60,8,0,131.67,9.88
B Doggett,71,69,4,23,102.9,17.75
B Laughlin,8,13,0,1,61.54,8
B Nikitaras,9,14,2,0,64.29,4.5
B Stanlake,7,23,2,19,30.43,3.5
BAC Howell,0,2,1,0,0,0
BAD Manenti,65,69,7,9,94.2,9.29
BCJ Cutting,509,388,18,8,131.19,28.28
BJ Dwarshuis,372,239,18,87,155.65,20.67
BJ Holt,43,56,5,0,76.79,8.6
BJ Webster,978,855,36,19,114.39,27.17
BL Couch,24,32,3,19,75,8
BM Duckett,545,402,20,0,135.57,27.25
BR Dunk,69,64,5,0,107.81,13.8
BR McDermott,1622,1169,45,0,138.75,36.04
C Connolly,577,436,15,12,132.34,38.47
C Kellaway,83,70,6,0,118.57,13.83
C Munro,1381,1107,44,0,124.75,31.39
C Stow,0,0,0,3,0,0
C Valente,1,5,1,1,20,1
C de Grandhomme,232,174,11,5,133.33,21.09
CA Ingram,258,212,10,0,121.7,25.8
CA Lynn,1623,1125,47,0,144.27,34.53
CA Wakim,67,79,8,0,84.81,8.38
CD Hinchliffe,42,48,6,10,87.5,7
CJ Anderson,110,124,5,2,88.71,22
CJ Boyce,62,72,8,34,86.11,7.75
CJ Ferguson,405,341,14,0,118.77,28.93
CJ Gannon,7,11,2,4,63.64,3.5
CJ Green,396,320,30,50,123.75,13.2
CJ Jordan,203,139,9,23,146.04,22.56
CJ Rocchiccioli,1,2,1,6,50,1
CJM Sabburg,10,10,0,0,100,10
CP Jewell,856,676,39,0,126.63,21.95
CP Tremain,0,0,0,3,0,0
CR Brathwaite,55,53,8,16,103.77,6.88
CT Bancroft,1011,838,30,0,120.64,33.7
D Warren,13,15,2,2,86.67,6.5
DA Payne,40,21,1,22,190.48,40
DA Warner,554,438,17,0,126.48,32.59
DJ Malan,265,241,10,0,109.96,26.5
DJ Worrall,92,79,6,15,116.46,15.33
DJM Moody,8,15,1,4,53.33,8
DJM Short,1374,1188,54,19,115.66,25.44
DMK Grant,1,1,0,3,100,1
DP Hughes,907,725,33,0,125.1,27.48
