batsman,runs_batsman,ball,wickets_lost_count,wickets_taken,Batting_SR,Batting_Average,Recommendation
A Lyth,73,80,6,0,91.25,12.17,DON'T BUY
A Zampa,55,67,7,63,82.09,7.86,DON'T BUY
AC Agar,249,205,19,36,121.46,13.11,DON'T BUY
AD Hales,1429,983,46,0,145.37,31.07,BUY
AD Russell,184,143,6,7,128.67,30.67,BUY
ADS Fletcher,206,160,10,0,128.75,20.6,DON'T BUY
AF Milne,13,15,3,8,86.67,4.33,DON'T BUY
AI Ross,1039,808,38,0,128.59,27.34,MAYBE
AJ Finch,1059,908,38,0,116.63,27.87,MAYBE
AJ Hose,402,322,17,0,124.84,23.65,MAYBE
AJ Hosein,100,84,7,19,119.05,14.29,DON'T BUY
AJ Nair,15,13,0,1,115.38,15.0,DON'T BUY
AJ Turner,1225,827,36,5,148.13,34.03,BUY
AJ Tye,145,118,13,89,122.88,11.15,DON'T BUY
AM Hardie,1152,911,40,24,126.45,28.8,BUY
AT Carey,727,568,27,0,127.99,26.93,MAYBE
Ahmed Daniyal,1,2,0,3,50.0,1.0,BUY
Asif Ali,79,60,8,0,131.67,9.88,BUY
B Doggett,71,69,4,23,102.9,17.75,BUY
B Laughlin,8,13,0,1,61.54,8.0,BUY
B Nikitaras,9,14,2,0,64.29,4.5,BUY
B Stanlake,7,23,2,19,30.43,3.5,DON'T BUY
BAC Howell,0,2,1,0,0.0,0.0,DON'T BUY
BAD Manenti,65,69,7,9,94.2,9.29,DON'T BUY
BCJ Cutting,509,388,18,8,131.19,28.28,DON'T BUY
BJ Dwarshuis,372,239,18,87,155.65,20.67,DON'T BUY
BJ Holt,43,56,5,0,76.79,8.6,BUY
BJ Webster,978,855,36,19,114.39,27.17,BUY
BL Couch,24,32,3,19,75.0,8.0,DON'T BUY
BM Duckett,545,402,20,0,135.57,27.25,BUY
BR Dunk,69,64,5,0,107.81,13.8,BUY
BR McDermott,1622,1169,45,0,138.75,36.04,BUY
C Connolly,577,436,15,12,132.34,38.47,BUY
C Kellaway,83,70,6,0,118.57,13.83,BUY
C Munro,1381,1107,44,0,124.75,31.39,BUY
C Stow,0,0,0,3,0.0,0.0,BUY
C Valente,1,5,1,1,20.0,1.0,DON'T BUY
C de Grandhomme,232,174,11,5,133.33,21.09,DON'T BUY
CA Ingram,258,212,10,0,121.7,25.8,BUY
CA Lynn,1623,1125,47,0,144.27,34.53,BUY
CA Wakim,67,79,8,0,84.81,8.38,BUY
CD Hinchliffe,42,48,6,10,87.5,7.0,DON'T BUY
CJ Anderson,110,124,5,2,88.71,22.0,BUY
CJ Boyce,62,72,8,34,86.11,7.75,DON'T BUY
CJ Ferguson,405,341,14,0,118.77,28.93,MAYBE
CJ Gannon,7,11,2,4,63.64,3.5,BUY
CJ Green,396,320,30,50,123.75,13.2,BUY
CJ Jordan,203,139,9,23,146.04,22.56,BUY
CJ Rocchiccioli,1,2,1,6,50.0,1.0,BUY
CJM Sabburg,10,10,0,0,100.0,10.0,BUY
CP Jewell,856,676,39,0,126.63,21.95,MAYBE
CP Tremain,0,0,0,3,0.0,0.0,BUY
CR Brathwaite,55,53,8,16,103.77,6.88,DON'T BUY
CT Bancroft,1011,838,30,0,120.64,33.7,BUY
D Warren,13,15,2,2,86.67,6.5,BUY
DA Payne,40,21,1,22,190.48,40.0,BUY
DA Warner,554,438,17,0,126.48,32.59,BUY
DJ Malan,265,241,10,0,109.96,26.5,BUY
DJ Worrall,92,79,6,15,116.46,15.33,DON'T BUY
DJM Moody,8,15,1,4,53.33,8.0,BUY
DJM Short,1374,1188,54,19,115.66,25.44,MAYBE
DMK Grant,1,1,0,3,100.0,1.0,BUY
DP Hughes,907,725,33,0,125.1,27.48,MAYBE
DR Briggs,55,39,4,11,141.03,13.75,DON'T BUY
DR Drew,61,54,3,0,112.96,20.33,BUY
DR Sams,652,444,37,64,146.85,17.62,DON'T BUY
DT Christian,648,479,30,27,135.28,21.6,BUY
DW Lawrence,237,188,11,7,126.06,21.55,DON'T BUY
Dilbar Hussain,0,0,0,3,0.0,0.0,BUY
F O'Neill,54,58,5,10,93.1,10.8,DON'T BUY
F du Plessis,163,109,7,0,149.54,23.29,MAYBE
FA Allen,7,9,1,1,77.78,7.0,BUY
FH Allen,181,103,10,0,175.73,18.1,MAYBE
Faheem Ashraf,61,57,5,7,107.02,12.2,DON'T BUY
Fakhar Zaman,3,8,1,0,37.5,3.0,DON'T BUY
Fawad Ahmed,6,7,2,30,85.71,3.0,BUY
Fazalhaq Farooqi,1,3,1,5,33.33,1.0,DON'T BUY
GHS Garton,71,59,9,9,120.34,7.89,DON'T BUY
GJ Maxwell,1415,912,37,19,155.15,38.24,BUY
GS Sandhu,58,55,4,35,105.45,14.5,BUY
H Kerr,360,279,19,54,129.03,18.95,BUY
H McKenzie,17,12,2,3,141.67,8.5,BUY
HC Brook,44,60,7,0,73.33,6.29,BUY
HD Weibgen,46,51,4,0,90.2,11.5,BUY
HJ Hunt,154,150,9,0,102.67,17.11,BUY
HJ Manenti,11,9,1,0,122.22,11.0,BUY
HJ Nielsen,361,317,19,0,113.88,19.0,BUY
HNA Conway,9,10,2,15,90.0,4.5,DON'T BUY
HT Dixon,25,22,3,0,113.64,8.33,BUY
HTRY Thornton,44,55,4,48,80.0,11.0,DON'T BUY
HWR Cartwright,1259,975,43,2,129.13,29.28,MAYBE
Haris Rauf,17,22,2,16,77.27,8.5,DON'T BUY
Hassan Khan,6,4,1,1,150.0,6.0,BUY
IA Cockbain,239,172,4,0,138.95,59.75,BUY
Imad Wasim,84,79,7,14,106.33,12.0,DON'T BUY
Izharulhaq Naveed,4,5,1,9,80.0,4.0,DON'T BUY
J Avendano,126,112,10,0,112.5,12.6,BUY
J Botha,2,2,0,3,100.0,2.0,BUY
J Brown,775,547,31,0,141.68,25.0,MAYBE
J Clayton,21,23,2,0,91.3,10.5,BUY
J Edwards,480,415,29,19,115.66,16.55,BUY
J Fraser-McGurk,724,583,38,0,124.19,19.05,MAYBE
J Kann,0,0,0,1,0.0,0.0,BUY
J Merlo,41,45,7,0,91.11,5.86,BUY
J Overton,276,188,6,27,146.81,46.0,BUY
J Seymour,154,118,10,0,130.51,15.4,BUY
J Weatherald,941,734,37,0,128.2,25.43,MAYBE
JA Burns,315,289,15,0,109.0,21.0,BUY
JA Chohan,0,0,0,3,0.0,0.0,BUY
JA Davies,52,39,6,1,133.33,8.67,BUY
JA Prestwidge,135,115,9,8,117.39,15.0,DON'T BUY
JA Richardson,155,144,13,62,107.64,11.92,DON'T BUY
JA Thompson,52,35,7,8,148.57,7.43,DON'T BUY
JC Silk,1264,979,37,0,129.11,34.16,MAYBE
JD Cook,2,2,0,3,100.0,2.0,BUY
JD Wildermuth,131,101,10,15,129.7,13.1,DON'T BUY
JDS Neesham,62,43,5,1,144.19,12.4,BUY
JG Bethell,195,160,9,4,121.88,21.67,DON'T BUY
JJ Bazley,442,357,31,33,123.81,14.26,BUY
JJ Peirson,958,826,37,0,115.98,25.89,BUY
JJ Roy,355,276,11,0,128.62,32.27,BUY
JJS Sangha,658,542,18,5,121.4,36.56,MAYBE
JK Lalor,13,24,6,11,54.17,2.17,DON'T BUY
JL Denly,223,216,12,0,103.24,18.58,BUY
JL Pattinson,19,15,4,3,126.67,4.75,DON'T BUY
JM Bird,42,41,2,35,102.44,21.0,BUY
JM Carder,10,14,1,0,71.43,10.0,BUY
